ID,product_name,product_fullname,category,category_list,actual_price,discount_price,discount_percentage,img_link,product_link,mapped_user_id_list
403,Redmi Note 11 (Space Black,"Redmi Note 11 (Space Black, 6GB RAM, 64GB Storage) | 90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | 33W Charger Included",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,"['Electronics', 'Mobiles&Accessories', 'Smartphones&BasicMobiles', 'Smartphones']",313500,213200,32,https://m.media-amazon.com/images/I/411yU+n3UkL._SY300_SX300_.jpg,https://www.amazon.in/Redmi-Storage-Qualcomm%C2%AE-SnapdragonTM-Included/dp/B09QS9X16F/ref=sr_1_218?qid=1672895814&s=electronics&sr=1-218,"[8511, 8321, 7419, 3048, 1834, 3879, 4494]"
404,Noise ColorFit Pro 2 Full Touch Control Smart Watch with 35g Weight & Upgraded LCD Display (Deep Wine),Noise ColorFit Pro 2 Full Touch Control Smart Watch with 35g Weight & Upgraded LCD Display (Deep Wine),Electronics|WearableTechnology|SmartWatches,"['Electronics', 'WearableTechnology', 'SmartWatches']",82500,24800,70,https://m.media-amazon.com/images/I/41zs4v3adaL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Noise-Colorfit-Pro-Control-Cloudbased/dp/B08HV25BBQ/ref=sr_1_220?qid=1672895814&s=electronics&sr=1-220,"[3731, 3151, 8717, 783, 5258, 6170, 2402, 2508]"
405,Redmi Note 11T 5G (Aquamarine Blue,"Redmi Note 11T 5G (Aquamarine Blue, 6GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers| Get 2 Months of YouTube Premium Free!",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,"['Electronics', 'Mobiles&Accessories', 'Smartphones&BasicMobiles', 'Smartphones']",346500,280700,19,https://m.media-amazon.com/images/I/417k0DCw0GL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Redmi-Note-11T-5G-Aquamarine/dp/B09LJ116B5/ref=sr_1_221?qid=1672895814&s=electronics&sr=1-221,"[8089, 4864, 6805, 1546, 2361, 6821, 8696, 607]"
406,"Newly Launched Boult Dive+ with 1.85"" HD Display","Newly Launched Boult Dive+ with 1.85"" HD Display, Bluetooth Calling Smartwatch, 500 Nits Brightness, 7 Days Battery Life, 150+ Watch Faces, 100+ Sport Modes, IP68 Waterproof Smart Watch (Jet Black)",Electronics|WearableTechnology|SmartWatches,"['Electronics', 'WearableTechnology', 'SmartWatches']",140200,33600,76,https://m.media-amazon.com/images/I/41OEfM3qYLL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Boult-Bluetooth-Smartwatch-Brightness-Waterproof/dp/B0BMVWKZ8G/ref=sr_1_230?qid=1672895814&s=electronics&sr=1-230,"[4208, 4950, 2213, 447, 4037, 5439, 8024, 6756]"
407,OnePlus Nord Watch with 1.78” AMOLED Display,"OnePlus Nord Watch with 1.78” AMOLED Display, 60 Hz Refresh Rate, 105 Fitness Modes, 10 Days Battery, SPO2, Heart Rate, Stress Monitor, Women Health Tracker & Multiple Watch Face [Midnight Black]",Electronics|WearableTechnology|SmartWatches,"['Electronics', 'WearableTechnology', 'SmartWatches']",115500,82000,29,https://m.media-amazon.com/images/I/31OgHTags6L._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/OnePlus-Display-Refresh-Multiple-Midnight/dp/B0BD92GDQH/ref=sr_1_231?qid=1672895814&s=electronics&sr=1-231,"[6877, 7932, 4856, 5778, 6136, 8766, 7140, 7573]"
408,"Noise Agile 2 Buzz Bluetooth Calling Smart Watch with 1.28"" TFT Display","Noise Agile 2 Buzz Bluetooth Calling Smart Watch with 1.28"" TFT Display,Dual Button,in-Built Mic & Speaker,AI Voice Assistant, Health Suite,in-Built Games, 100 Watch Faces-(Jet Black)",Electronics|WearableTechnology|SmartWatches,"['Electronics', 'WearableTechnology', 'SmartWatches']",99000,41600,58,https://m.media-amazon.com/images/I/41DgrxyBPTL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Noise-Bluetooth-Calling-Display-Assistant/dp/B0B5GF6DQD/ref=sr_1_238?qid=1672895814&s=electronics&sr=1-238,"[3486, 557, 561, 5411, 4692, 8404, 1641, 1113]"
409,Motorola a10 Dual Sim keypad Mobile with 1750 mAh Battery,"Motorola a10 Dual Sim keypad Mobile with 1750 mAh Battery, Expandable Storage Upto 32GB, Wireless FM with Recording - Dark Blue",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,"['Electronics', 'Mobiles&Accessories', 'Smartphones&BasicMobiles', 'BasicMobiles']",26900,23100,14,https://m.media-amazon.com/images/I/412DrCgktiL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Motorola-keypad-Mobile-Expandable-Battery/dp/B09JS94MBV/ref=sr_1_239?qid=1672895814&s=electronics&sr=1-239,"[1828, 3591, 7874, 1813, 7528, 6178, 4919, 6072]"
410,"Fire-Boltt Ninja 3 Smartwatch Full Touch 1.69 "" & 60 Sports Modes with IP68","Fire-Boltt Ninja 3 Smartwatch Full Touch 1.69 "" & 60 Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud based watch faces ( Silver )",Electronics|WearableTechnology|SmartWatches,"['Electronics', 'WearableTechnology', 'SmartWatches']",165000,24800,85,https://m.media-amazon.com/images/I/41-IPkI1Y5L._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Fire-Boltt-Smartwatch-Sports-Tracking-Silver/dp/B09YV463SW/ref=sr_1_242?qid=1672895821&s=electronics&sr=1-242,"[109, 5299, 5526, 7774, 4497, 3400, 5784, 3165]"
411,Flix (Beetel) Bolt 2.4 12W Dual USB Smart Charger,"Flix (Beetel) Bolt 2.4 12W Dual USB Smart Charger, Made in India, Bis Certified, Fast Charging Power Adaptor with 1 Meter USB to Type C Cable for Cellular Phones (White)(Xwc-64D)",Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,"['Electronics', 'Mobiles&Accessories', 'MobileAccessories', 'Chargers', 'WallChargers']",9900,4200,58,https://m.media-amazon.com/images/I/31efS1bi1vL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Charger-Certified-Charging-Adaptor-Cellular/dp/B09NL4DCXK/ref=sr_1_246?qid=1672895821&s=electronics&sr=1-246,"[8235, 7087, 3949, 2089, 1214, 3433, 3469, 537]"
412,Kyosei Advanced Tempered Glass Compatible with Google Pixel 6a with Military-Grade Anti-Explosion Edge-to-Edge Coverage Screen Protector Guard,Kyosei Advanced Tempered Glass Compatible with Google Pixel 6a with Military-Grade Anti-Explosion Edge-to-Edge Coverage Screen Protector Guard,"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors","['Electronics', 'Mobiles&Accessories', 'MobileAccessories', 'Maintenance,Upkeep&Repairs', 'ScreenProtectors']",19800,5000,75,https://m.media-amazon.com/images/I/318wXJER9zL._SX300_SY300_QL70_ML2_.jpg,https://www.amazon.in/Compatible-Pixel-6a-Military-Grade-Anti-Explosion/dp/B0B8CHJLWJ/ref=sr_1_247?qid=1672895821&s=electronics&sr=1-247,"[5590, 5976, 6369, 2347, 8804, 3981, 1367, 8930]"
